"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111128251",8,17,5,1,12,8,3,8,3,2,7,2,4,1,0,1,4,1,0,10,1,4,1,3,4,1,3,0,10,0
"LOC111128259",3,4,9,0,3,0,0,2,3,1,0,4,0,1,0,3,1,1,0,4,0,1,0,4,0,1,0,1,2,0
"LOC111128319",83,79,49,42,101,68,48,72,71,13,7,49,11,3,20,83,88,18,9,41,22,18,10,47,76,44,27,0,33,1
"LOC111128314",24,32,89,33,20,18,15,49,55,3,3,39,1,3,8,35,73,5,1,32,7,5,3,36,26,34,29,1,5,2
"LOC111128306",0,1,11,0,2,2,1,16,3,0,0,0,6,0,0,0,26,6,2,0,11,0,0,10,0,1,0,0,0,0
"LOC111100637",19,9,46,26,31,42,12,12,15,14,1,21,2,0,3,34,27,4,2,23,5,9,1,12,9,4,14,3,21,0
"LOC111111564",9,7,11,9,14,4,22,7,7,12,7,19,1,1,6,26,26,4,3,20,7,8,4,21,14,31,5,1,11,0
"LOC111132626",3,0,1,0,0,0,5,2,1,0,0,1,1,0,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"LOC111118716",1,4,1,0,2,6,2,2,1,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0
"LOC111121419",0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111137561",2,35,24,16,58,1,2,24,0,0,0,8,1,1,1,35,9,2,0,7,1,5,2,17,1,1,11,0,17,2
"LOC111104106",0,0,1,0,0,0,0,20,1,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,1,0,0,0,1,0
"LOC111125887",0,0,16,0,1,0,0,1,6,0,0,4,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"LOC111125896",7,8,3,2,4,2,2,0,4,0,1,0,1,0,0,3,1,0,0,3,2,7,0,8,2,1,1,1,6,0
"LOC111127890",3,0,0,1,0,1,1,0,4,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"LOC111119531",72,38,20,4,50,14,9,19,5,11,2,14,0,0,1,49,28,0,3,4,3,4,3,3,4,3,9,1,50,0
"LOC111125338",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
