"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","plot","more_me_in"
"LOC111133338",0.554333658956608,-0.379366098303944,0.688007092245864,-0.188030181319285,0.850852991863625,1,"hypoxic_vs_control","not significant"
"LOC111134457",4.00820923388596,-0.327221830655831,0.53143961726903,-0.145306876165272,0.884468585951893,1,"hypoxic_vs_control","not significant"
"LOC111134458",20.7085251522566,-0.172768613749126,0.314203726376149,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136673",0.304053992045606,-0.422045601001704,0.721078786901909,-0.238594733511566,0.811419849254849,1,"hypoxic_vs_control","not significant"
"LOC111136411",0.195651745107296,-0.10666917599457,0.628920418467139,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132041",10.8711580105724,-0.503903166835925,0.401218997904556,-0.632829372891072,0.526845073217177,1,"hypoxic_vs_control","not significant"
"LOC111132035",0.468004803222362,0.126410490644642,0.726079287997203,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132431",26.4508395650147,-0.0306164351009664,0.23561722037561,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138329",0.180099220941752,-0.594860083801499,0.642786530992155,-0.536507949644185,0.591607543228293,1,"hypoxic_vs_control","not significant"
"LOC111134286",171.171699926898,-0.0370700776837675,0.252617445190975,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136247",11.3474613569695,0.469438756971101,0.289250892090555,0.758645048197127,0.448064917191046,1,"hypoxic_vs_control","not significant"
"LOC111135886",20.6209767598354,-0.178754013500151,0.242627161420257,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133230",0.148828895737864,-0.203220515595202,0.508933164445065,0,NA,NA,"hypoxic_vs_control",NA
"LOC111099067",21.2447018531826,0.221018192577567,0.254208188052404,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134024",44.1158687943904,-0.173257204471425,0.174679068569057,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136886",0.177061587422681,0.712702116009156,0.68351642170542,0.676943671455153,NA,NA,"hypoxic_vs_control",NA
"LOC111136218",17.7885894332253,0.44748542177415,0.297761519764255,0.66323352302374,0.507181004583265,1,"hypoxic_vs_control","not significant"
"LOC111136732",39.7802613995401,-0.0640630244181543,0.219331887354389,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136470",0.23152938114266,0.253924385831698,0.710267852067584,0.00552521956368158,0.995591535045411,1,"hypoxic_vs_control","not significant"
"LOC111135404",0.285687438924794,-0.386003793162758,0.684123588033012,-0.198800034879363,0.842419168706192,1,"hypoxic_vs_control","not significant"
"LOC111135850",101.644520929046,0.234531405392202,0.195536146921287,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136911",67.9377449265837,0.122346320555997,0.148540365074363,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134508",3.85936042234997,-2.18391065987695,0.728871725609797,-2.65329356583146,0.00797105114560391,1,"hypoxic_vs_control","not significant"
"LOC111132416",1.5869581251586,-0.0415267168456443,0.602010755810672,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135872",65.1995688142381,-0.0480101234512436,0.214154355032654,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134967",20.8102193799928,0.183395935380187,0.269895349794746,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135859",79.1298116946119,0.0493970396495818,0.241314090375578,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136731",11.9359337285228,-0.336575960690362,0.39465910140682,-0.2193689702879,0.826362639469384,1,"hypoxic_vs_control","not significant"
"LOC111133369",11.7222998870498,-0.524810269161499,0.381233144826222,-0.720845689549805,0.471004460924746,1,"hypoxic_vs_control","not significant"
"LOC111136858",53.0075780451706,-0.00301494959435079,0.175204893607628,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136857",31.3271545779584,0.632934000056838,0.373989893422031,1.02391536988598,0.305875249903467,1,"hypoxic_vs_control","not significant"
"LOC111133781",23.7624475302869,-0.424733560827831,0.238178509934362,-0.733624376422478,0.463177700071628,1,"hypoxic_vs_control","not significant"
"LOC111135892",162.825498000011,0.0996033214542074,0.297656793429411,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136958",6.75709853762768,-0.505142407091232,0.366893056033952,-0.695413562331422,0.486796163581658,1,"hypoxic_vs_control","not significant"
"LOC111136017",73.7465832856168,0.0866774793943459,0.140895361164157,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134904",0.187631501915467,-0.818886534661372,0.594485737118034,-0.956938912309716,NA,NA,"hypoxic_vs_control",NA
"LOC111137020",0.908281855763078,-0.651183578241647,0.718349783626931,-0.558479430753192,0.576517046483167,1,"hypoxic_vs_control","not significant"
"LOC111134681",6.18842647786136,-0.124386109013462,0.383435958055547,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134682",0.247917137888013,0,0.506476203032421,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135055",0.711166431617425,-0.114088435095653,0.652806739054636,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134622",42.9245238233472,0.357436495763575,0.197251412605254,0.544667814260881,0.585982004977798,1,"hypoxic_vs_control","not significant"
"LOC111135543",1.69712210318483,-0.141163199062931,0.541222665386765,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135544",7.26440668028875,0.283178099615338,0.32490255996167,0.102117076637539,0.918663746674434,1,"hypoxic_vs_control","not significant"
"LOC111137029",0.260224762640186,-0.623874811316406,0.726967080110445,-0.514294005252074,0.607046452302118,1,"hypoxic_vs_control","not significant"
"LOC111099182",0.849363155609207,1.0909925177358,0.685334752527519,1.22712661897594,0.219775004430616,1,"hypoxic_vs_control","not significant"
"LOC111136548",32.1760949865615,-0.210125834337064,0.268084164284968,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135165",70.7235240816134,0.0792853919097068,0.184422184943106,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135442",39.5588103982052,-0.0613165542553375,0.19401583957935,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137900",22.3542316641153,0.0654752820966813,0.249045285546563,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137903",4.81836969752014,-0.444879214907361,0.680325377055087,-0.286450015654174,0.774533471822404,1,"hypoxic_vs_control","not significant"
"LOC111135220",40.4811769530363,0.283786023887126,0.177733589374318,0.190093633994924,0.849235758466546,1,"hypoxic_vs_control","not significant"
"LOC111138303",107.899676485754,-0.112606719302089,0.125130370923912,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138305",75.2890231817899,-0.320894505444612,0.191282818809672,-0.370626624418123,0.710915648802736,1,"hypoxic_vs_control","not significant"
"LOC111138304",8.30441861869095,0.429996146750223,0.357737590469313,0.503151336470085,0.614857875760923,1,"hypoxic_vs_control","not significant"
"LOC111135774",11.9224513901457,-0.0533295481827446,0.253889846160236,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132158",112.114238616386,-0.163442243568766,0.111373917739006,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135761",15.4834258012353,-0.26591349409848,0.304696453919754,-0.0522273688904536,0.958347525466865,1,"hypoxic_vs_control","not significant"
"LOC111134748",53.6788730800771,0.389596136120085,0.184739242154769,0.755638783032009,0.449865796491468,1,"hypoxic_vs_control","not significant"
"LOC111136139",3.86216100239019,0.426235645288976,0.378159813490143,0.466034832370072,0.641190568116709,1,"hypoxic_vs_control","not significant"
"LOC111137775",33.7777223680899,-0.165189584453101,0.352293631500527,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136224",15.5912479740642,-0.358013209655815,0.328950365274551,-0.328357165877181,0.742641625790723,1,"hypoxic_vs_control","not significant"
"LOC111135257",2.80011988606717,-0.446192891032853,0.518029886711539,-0.378728903612662,0.704889187518489,1,"hypoxic_vs_control","not significant"
