Symbol,log2fc
LOC111099614,0.739095496129488
LOC111101576,NA
LOC111131125,NA
LOC111119437,-0.154795333607677
LOC111136495,0
LOC111136512,0.0231395917049874
LOC111100550,NA
LOC111102318,0.225759570473493
LOC111131135,0.00596063051858774
LOC111116870,0.0235611624570956
LOC111122930,0.0235475561919994
LOC111099165,0
LOC111111855,NA
LOC111111942,0.749823133793347
LOC111111920,0.702674147158792
LOC111120772,0
LOC111120335,-0.0903364371688231
LOC111120324,-0.290234298981899
LOC111131144,NA
LOC111104630,0.00710305480549713
LOC111109994,NA
LOC111137504,-0.23744832864363
LOC111137464,-0.410016375549552
LOC111137483,0.00909973455868347
LOC111137512,0.62404502793317
LOC111112613,-0.0903515914235425
LOC111112620,0.146937753818683
LOC111129301,0.372151919293605
LOC111129281,-0.0111105096600138
LOC111129311,NA
LOC111129293,-0.501582957373158
LOC111131159,NA
LOC111138311,-0.175190254221149
LOC111109684,NA
LOC111100708,-0.100581068634592
LOC111111509,0.640719335646655
LOC111102384,-0.713642238018036
LOC111102366,NA
LOC111121414,NA
LOC111124532,NA
LOC111123766,NA
LOC111102044,NA
LOC111110039,-0.142322633609487
LOC111110056,0.0327408678525713
LOC111110003,0.260248947309332
LOC111110076,NA
LOC111110068,-0.0843119439511557
LOC111110014,0.293325611526644
LOC111110031,NA
LOC111110047,-0.15187742003416
LOC111123556,-0.208228348376971
LOC111123147,0.253649594360331
LOC111123163,NA
LOC111118132,-0.251388640437413
LOC111099670,-0.0268966082070832
LOC111113075,NA
LOC111101281,NA
LOC111135806,0
LOC111121406,0.00767724298275962
LOC111103719,NA
LOC111099300,-0.030716408561264
LOC111099327,0.0159133232811033
LOC111110574,NA
LOC111135752,0.023018684690723
LOC111135862,0.0235475561919994
LOC111109279,-0.0275315125451401
LOC111134860,NA
LOC111134864,0.0235475561919994
LOC111112865,0.00651368794309666
LOC111109163,0.118195241527595
LOC111112100,0
LOC111113141,0.260052860383246
LOC111119638,NA
LOC111103677,-0.335386264671569
LOC111121994,-0.236057719542415
LOC111135781,-0.0244539698586806
LOC111100976,NA
LOC111100967,0.381890638127838
LOC111137591,0.876127557335872
LOC111102168,-0.00857593059518914
LOC111113131,0.458251223099906
LOC111128387,0.852119357865599
LOC111128408,-0.0930320740127689
LOC111128397,0.0690042766569941
LOC111103846,NA
LOC111109174,0
LOC111127825,NA
LOC111112589,0.440529446187567
LOC111126353,-0.21079460277278
LOC111110084,-0.347429199084717
LOC111104824,-0.392625050291341
LOC111105569,0.020866273261329
LOC111132834,-0.00728393354256602
LOC111132822,0.144783766239837
LOC111121374,NA
LOC111121313,0.077791817792136
LOC111134625,-0.326075811332148
LOC111134738,NA
LOC111134711,NA
LOC111134671,0.0768302088009531
LOC111134677,0.223197881107336
LOC111134698,NA
LOC111134689,0.0235475561919994
LOC111134661,-0.145264680400138
LOC111134653,-0.799355029848144
LOC111131215,0.0235475561919994
LOC111100544,1.03741998636629
LOC111110257,NA
LOC111110251,NA
LOC111103822,-0.0254075810114117
LOC111114160,NA
LOC111131222,NA
Trnat-agu_3,NA
Trnat-agu_4,NA
Trnak-cuu_1,NA
LOC111107153,0.0444322392405124
Trnat-agu_5,NA
LOC111107220,-0.0152706473984811
LOC111107424,-0.077345259946333
LOC111115710,0.0903528939052496
LOC111131233,0.599759432225119
LOC111138167,-0.179017925330374
LOC111126487,-0.0758871220478414
LOC111126509,NA
LOC111109595,-0.0993430576498817
LOC111115033,0.0235475561919994
LOC111136229,0.228541070919439
LOC111124937,-0.405279322208653
LOC111124949,NA
LOC111124945,NA
LOC111131355,-0.214325571659338
LOC111131366,NA
LOC111105902,NA
LOC111110293,NA
LOC111129913,0.178598647458806
LOC111129895,NA
LOC111129905,NA
LOC111131238,-0.00857593059518914
LOC111134281,NA
LOC111134213,NA
LOC111113115,-0.0625670451389792
LOC111113123,NA
LOC111102342,NA
LOC111115582,NA
LOC111103114,0.157893318319758
LOC111109263,0.13361040771468
LOC111122263,-0.0505129438602136
LOC111118578,NA
LOC111116341,NA
LOC111116159,-0.0770316914113192
LOC111129074,0.0392013350985817
LOC111129081,0.753389411478271
LOC111123000,0.0235475561919994
LOC111120802,0.113924574405314
LOC111119417,-0.740546262547267
LOC111119536,NA
LOC111110741,-0.0499908824652766
LOC111113709,0.0678500699355995
LOC111135116,-0.0865637327937952
LOC111135121,-0.152042175188211
LOC111116885,-0.0104567471233559
LOC111116891,-0.00916476771278623
LOC111110424,NA
LOC111131248,0.195826414302313
LOC111131259,0.253119940742556
LOC111120067,-0.161223189210168
LOC111116486,NA
LOC111111183,-0.0254075810114117
LOC111117980,-0.0293197865519936
LOC111117993,-0.123455867576327
LOC111117969,0.16846923876679
LOC111117955,0.0761086940121313
LOC111132205,NA
LOC111115045,NA
LOC111119840,NA
LOC111131319,NA
LOC111101737,0.191259989289299
LOC111101743,0.181865945183705
LOC111113022,1.05939849527508
LOC111113871,NA
LOC111115002,NA
LOC111136389,0.0272501722572579
LOC111128868,-0.219606897207336
LOC111128884,NA
LOC111128872,0
LOC111128838,0.11570547030689
LOC111134535,0.098440102306537
LOC111131329,1.19092431178069
LOC111134543,NA
LOC111131341,-0.186441427291645
LOC111104350,0.155583058744322
LOC111104327,0.920276216395439
LOC111104302,0.661634904744958
LOC111104397,NA
LOC111104344,0.393315171803719
LOC111131346,-0.404976634908662
LOC111104389,-0.0817044115410091
LOC111104377,NA
LOC111131377,0.146716407413671
LOC111104366,0.111082728714594
LOC111104335,0.42766405339133
LOC111104357,-0.0223202926420081
LOC111112780,-0.425645752363597
LOC111110245,NA
LOC111137004,0.446970089846223
LOC111104182,NA
LOC111122050,0.0373636998714623
LOC111118599,-0.185659834694768
LOC111119580,0.0149822346582137
LOC111134209,-0.0446054136923456
LOC111134254,NA
LOC111134237,NA
LOC111134218,NA
LOC111131385,0.0373636998714623
LOC111104626,-0.0567447015662915
LOC111099064,0.17532112601734
LOC111101542,-0.457951379831942
LOC111116597,0
LOC111116653,0.0787382993261853
LOC111116664,0
LOC111116509,0.0187229594092401
LOC111116694,0.537129514948109
LOC111116724,NA
LOC111116519,-0.158725232860441
LOC111116615,-0.0812495431432226
LOC111116630,-0.0201584518253572
LOC111116740,0.214734616083813
LOC111116748,NA
LOC111116682,0
LOC111116581,-0.117150792738187
LOC111116753,NA
