Symbol,log2fc
LOC111134698,NA
LOC111134689,0
LOC111134661,0.182972101126125
LOC111134653,-0.0207192626329362
LOC111131215,0
LOC111100544,-1.0421382794899
LOC111110257,NA
LOC111110251,NA
LOC111103822,-0.00255571492240635
LOC111114160,NA
LOC111131222,NA
Trnat-agu_3,NA
Trnat-agu_4,NA
Trnak-cuu_1,NA
LOC111107153,-0.114723786225778
Trnat-agu_5,NA
LOC111107220,-0.0397823100592252
LOC111107424,0.0735071646771377
LOC111115710,0.0488549257252048
LOC111131233,0.150070550242457
LOC111138167,0.0909527177932817
LOC111126487,0.238160538690779
LOC111126509,NA
LOC111109595,-0.227920590205677
LOC111115033,0
LOC111136229,-0.487931999202667
LOC111124937,-0.0413258275948991
LOC111124949,NA
LOC111124945,NA
LOC111131355,-0.492666514279732
LOC111131366,NA
LOC111105902,NA
LOC111110293,NA
LOC111129913,-0.137680605280114
LOC111129895,NA
LOC111129905,NA
LOC111131238,-0.0193873653386289
LOC111134281,NA
LOC111134213,NA
LOC111113115,0.0176661392448232
LOC111113123,NA
LOC111102342,NA
LOC111115582,NA
LOC111103114,-0.0667783245826217
LOC111109263,-0.0479124130785566
LOC111122263,-0.238037639670345
LOC111118578,NA
LOC111116341,NA
LOC111116159,-0.561886264728232
LOC111129074,0
LOC111129081,-0.220724769464318
LOC111123000,0
LOC111120802,-0.081868127494329
LOC111119417,0.789426094555471
LOC111119536,NA
LOC111110741,-0.585352279642039
LOC111113709,-0.859121594897257
LOC111135116,0.268906141061112
LOC111135121,-0.210619571183367
LOC111116885,-0.273039103450275
LOC111116891,-0.0187985282210318
LOC111110424,NA
LOC111131248,-0.12476333541859
LOC111131259,-0.497572449979755
LOC111120067,0.0330395971335034
LOC111116486,NA
LOC111111183,-0.00255571492240635
LOC111117980,-0.529487817797607
LOC111117993,-0.566387963591526
LOC111117969,0.00675371806295502
LOC111117955,-0.475627262073236
LOC111132205,NA
LOC111115045,NA
LOC111119840,NA
LOC111131319,NA
LOC111101737,-0.307649535441666
LOC111101743,-0.110127427842429
LOC111113022,-1.48289764728302
LOC111113871,NA
LOC111115002,NA
LOC111136389,0.10066178894702
LOC111128868,0.34091679832633
LOC111128884,NA
LOC111128872,-0.0515108521258174
LOC111128838,-0.570422940057499
LOC111134535,-0.0201181463118348
LOC111131329,-0.874195323203668
LOC111134543,NA
LOC111131341,-0.132297003808149
LOC111104350,-0.521852837136071
LOC111104327,-0.698526877372531
LOC111104302,-0.587051378630921
LOC111104397,NA
LOC111104344,-0.541186336828145
LOC111131346,0.276384377287222
LOC111104389,-0.054710330044566
LOC111104377,NA
LOC111131377,-0.522233364483192
LOC111104366,-0.0462516478088768
LOC111104335,-0.768209728983168
LOC111104357,-0.0751308553243395
LOC111112780,0.532681406638497
LOC111110245,NA
LOC111137004,-0.537744062792976
LOC111104182,NA
LOC111122050,0
LOC111118599,-0.233708032716617
LOC111119580,0
LOC111134209,0.0163286866682241
LOC111134254,NA
LOC111134237,NA
LOC111134218,NA
LOC111131385,-0.049265252411686
LOC111104626,0.0138256030474658
LOC111099064,-0.139825305642536
LOC111101542,0.522267840987482
LOC111116597,0
LOC111116653,0
LOC111116664,-0.0515108521258175
LOC111116509,-0.0751883473071179
LOC111116694,-0.65148987582762
LOC111116724,NA
LOC111116519,0.0130988112370375
LOC111116615,-0.0630492823167652
LOC111116630,0.600099335226409
LOC111116740,-0.622542048550589
LOC111116748,NA
LOC111116682,-0.0653596910326725
LOC111116581,-0.0199204602411255
LOC111116753,NA
LOC111116704,-0.0478417622248702
LOC111116714,0
LOC111128804,-0.0612197556402898
LOC111128797,-0.0628150414646895
LOC111135990,-0.121505390041373
LOC111122067,-0.0388034609192953
LOC111126618,0.608494943748231
LOC111110283,0.290066832360819
LOC111100816,NA
LOC111100827,0
LOC111111485,NA
LOC111109562,-0.0671646310323997
LOC111109571,0.133167635723465
LOC111112015,-0.0173549782339521
LOC111122283,-0.0929280184230712
LOC111129213,-0.0968007886911319
LOC111126321,-0.124449041247654
LOC111126328,-0.592618558388035
LOC111099195,0
LOC111099191,-0.0353133159572504
LOC111137309,-0.013328767535627
LOC111102782,0
LOC111131398,0.00986324480760929
LOC111102789,-0.0515108521258174
LOC111133771,0.425442736229546
LOC111117050,0.246025501743115
LOC111114913,0.0556807352809014
LOC111115428,NA
LOC111114283,-0.0515108521258175
LOC111138500,0
LOC111138517,-0.0515108521258174
LOC111099033,-0.000397819446850143
LOC111138506,NA
LOC111102545,0.342992647875934
LOC111131407,0.158407591909577
LOC111114926,0.0249980293661082
LOC111131411,0.0250478402395282
LOC111133877,-0.084294332207625
LOC111133904,NA
LOC111133832,NA
LOC111131419,NA
LOC111133852,NA
LOC111131426,NA
LOC111133935,NA
LOC111133804,NA
LOC111131436,NA
LOC111133927,NA
LOC111131438,-0.239627393948193
LOC111133916,NA
LOC111133841,NA
LOC111133962,NA
LOC111133946,NA
LOC111131448,-0.229834148506645
LOC111131458,-0.162456159883276
LOC111133824,0.139847969260426
LOC111133861,NA
LOC111133815,0.451963069530705
LOC111133897,-0.0991132563938013
LOC111133955,NA
LOC111131491,0.902839753945553
LOC111118736,NA
LOC111102855,NA
LOC111099722,-0.0309899367467633
LOC111124829,-0.0474329833991141
LOC111108643,-0.639307422642917
LOC111110943,-0.135366126072721
LOC111110954,NA
LOC111112965,0.761627669882764
LOC111131148,0.429922392592393
LOC111104157,NA
LOC111128427,-0.496189606679391
LOC111128419,-0.149336804726671
LOC111131506,0.00732799562602247
LOC111125267,0.00773188390954452
LOC111135304,NA
LOC111135310,0.531571445233865
LOC111125302,0.170635317525944
LOC111132726,NA
LOC111132711,NA
LOC111131511,-0.0515108521258175
LOC111132751,NA
LOC111132759,NA
LOC111132740,NA
LOC111131520,NA
LOC111136703,-0.573868436286564
LOC111136692,-0.287257850844287
LOC111133283,-0.116938592412136
LOC111131527,NA
LOC111122356,-0.0555429423812098
LOC111100092,-0.02159036271673
LOC111100158,NA
LOC111100144,NA
LOC111100258,NA
LOC111100186,-0.00825134586400977
LOC111100322,NA
LOC111100315,NA
LOC111100100,NA
LOC111100337,NA
LOC111100208,NA
LOC111131537,0.5994454203037
LOC111131545,-0.3653545699663
LOC111131553,NA
LOC111100219,-0.0515108521258174
LOC111100177,0.340827096909574
LOC111105926,-0.682196654494868
LOC111105935,NA
LOC111100340,-0.218847635936385
LOC111105943,0
LOC111100278,-0.132565739451912
LOC111100332,NA
