"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111119816",26.7711780600354,-0.62306343375921,0.198484121411859,-1.87956311621066,0.0601676440179645,1,"not significant","phase2"
"LOC111120160",24.0836682493722,0.449691651497168,0.194897208755903,1.0245998532861,0.30555203377941,1,"not significant","phase2"
"LOC111119813",44.7136394420617,-0.399811901249709,0.154095132749712,-0.972203979297907,0.330949081316171,1,"not significant","phase2"
"LOC111118848",119.938828145556,-0.157318686420042,0.144444612245864,0,1,1,"not significant","phase2"
"LOC111118850",65.2438399763243,-0.476470098841328,0.13025294235461,-1.73869468702496,0.0820884810775339,1,"not significant","phase2"
"LOC111118852",0.638901259798603,-0.14433765303996,0.214679668123322,0,1,NA,NA,"phase2"
"LOC111118849",152.091972665126,0.149365130182501,0.118491496929819,0,1,1,"not significant","phase2"
"LOC111118513",0.275360016543517,-0.0196166353680781,0.13856279297594,0,1,NA,NA,"phase2"
"LOC111122103",0.484906315082314,-0.087842658739483,0.124369192784366,0,1,NA,NA,"phase2"
"LOC111119850",16.3117836887637,0.192763171673898,0.274200210503646,0,1,1,"not significant","phase2"
"LOC111119851",39.5346946733955,0.053330383191228,0.180171822494693,0,1,1,"not significant","phase2"
"LOC111120480",5.65967085688237,0.00723135960370556,0.281849397485897,0,1,1,"not significant","phase2"
"LOC111121195",59.6168086195214,-0.269413453470314,0.14674383425338,-0.132294849518471,0.894751081059211,1,"not significant","phase2"
"LOC111119280",21.4032485706836,-0.492096912883862,0.182813993845412,-1.32427998421488,0.185410075489229,1,"not significant","phase2"
"LOC111119281",7.96864341207129,-0.157910983538898,0.272682964103846,0,1,1,"not significant","phase2"
"LOC111119535",61.2897552321646,0.132201436710773,0.122137206849365,0,1,1,"not significant","phase2"
"LOC111121979",14.2439522827324,0.133739675543244,0.246437873510736,0,1,1,"not significant","phase2"
"LOC111121980",40.1414971147786,0.0324876724383374,0.245838918629662,0,1,1,"not significant","phase2"
"LOC111122220",2.85161855114128,0.0899879405592045,0.20641716067784,0,1,1,"not significant","phase2"
