"","x"
"LOC111132912",3.2877040175509
"LOC111117970",3.2825267193291
"LOC111100280",3.27242212616532
"LOC111099527",3.27075884827667
"LOC111135503",3.26767458664815
"LOC111109744",3.26693930031718
"LOC111120445",3.25755834289073
"LOC111133547",3.25311402717332
"LOC111133130",3.25156285893524
"LOC111114592",3.2501720968862
"LOC111130365",3.24914630577036
"LOC111127197",3.24897439704023
"LOC111105299",3.24761340604345
"LOC111134811",3.24758454984267
"LOC111117318",3.24758454965988
"LOC111120821",3.24758454965988
"LOC111130052",3.2470249696719
"LOC111122852",3.23253503586104
"LOC111133800",3.22087320627688
"LOC111099426",3.2199155258852
"LOC111125240",3.21933531795702
"LOC111116628",3.21895369232254
"LOC111115579",3.21724882039939
"LOC111103407",3.21597376401968
"LOC111114829",3.21017855641112
"LOC111135438",3.20321415160225
"LOC111100714",3.20183953991704
"LOC111119859",3.19586843741911
"LOC111125288",3.19229993651537
"LOC111116065",3.19076289856797
"LOC111105373",3.1668435351614
"LOC111102818",3.1627047387576
"LOC111112780",3.16230872125992
"LOC111132440",3.161522885242
"LOC111102202",3.14776202074953
"LOC111104054",3.14404563563583
"LOC111131354",3.14207442918749
"LOC111102411",3.14207226422424
"LOC111121056",3.1420722641972
"LOC111112578",3.14206492496116
"LOC111115149",3.14148073353551
"LOC111132928",3.14099550291765
"LOC111103871",3.13906865979933
"LOC111103373",3.13675127390053
"LOC111133286",3.13644178286271
"LOC111134818",3.1338335378444
"LOC111100850",3.13383353738866
"LOC111134796",3.13295837257782
"LOC111120450",3.13130452912594
"LOC111134403",3.1309601973353
"LOC111129751",3.13043330374552
"LOC111113621",3.12942529526195
"LOC111130010",3.11001958969338
"LOC111111834",3.10982285771731
"LOC111124523",3.10176980462057
"LOC111105082",3.08184926895962
"LOC111134947",3.08175695120941
"LOC111119031",3.08173504800617
"LOC111119293",3.08083744966339
"LOC111128440",3.08064565152162
"LOC111133259",3.07344032418176
"LOC111133425",3.07340475252177
"LOC111123480",3.06129600299371
"LOC111112809",3.05984203880844
"LOC111133563",3.05842713920361
"LOC111123417",3.05292973252235
"LOC111102750",3.05272175817648
"LOC111121733",3.05222379486262
"LOC111101680",3.05087232752441
"LOC111105741",3.04980769462345
"LOC111138123",3.04433525419781
"LOC111106800",3.04272741319502
"LOC111118110",3.04100522919457
"LOC111123804",3.04066121694291
"LOC111122285",3.03970446071295
"LOC111138328",3.03573241652508
"LOC111123912",3.03519836312326
"LOC111104354",3.02836952546662
"LOC111116248",3.02597651780227
"LOC111130250",3.02455318349148
"LOC111132677",3.02205253356939
"LOC111134434",3.01459414403647
"LOC111131819",3.01266535046324
"LOC111132574",3.00911858496547
"LOC111123227",3.00602380184859
"LOC111103008",2.99789593656623
"LOC111128301",2.99701806773607
"LOC111108610",2.99246837062767
"LOC111130352",2.9906957312324
"LOC111132126",2.98930993278819
"LOC111103312",2.9870717418895
"LOC111118651",2.98656809821636
"LOC111128874",2.97626924221855
"LOC111118955",2.97625944869745
"LOC111101129",2.97625944391781
"LOC111127981",2.97153119681352
"LOC111103279",2.96693021090071
"LOC111126617",2.96423885117011
"LOC111101524",2.96238838092006
"LOC111128337",2.96191330591275
"LOC111110010",2.96081013132986
"LOC111111224",2.95132888604392
"LOC111121074",2.95095305552608
"LOC111117436",2.9505730965202
"LOC111119220",2.94578110596338
"LOC111106570",2.94449103583169
"LOC111107208",2.93573622318245
"LOC111130453",2.93523722072396
"LOC111123909",2.93108625181027
"LOC111125030",2.93086010678503
"LOC111130532",2.92852087446063
"LOC111136978",2.92644922334891
"LOC111114877",2.92135960750566
"LOC111109459",2.92110518576504
"LOC111137733",2.91898287908144
"LOC111108790",2.91303566578832
"LOC111101188",2.91003866448936
"LOC111106558",2.90908202380617
"LOC111138095",2.90806760229835
"LOC111103027",2.90608923722801
"LOC111119269",2.90551389563253
"LOC111138489",2.90548170034832
"LOC111131529",2.9022409523499
"LOC111121996",2.90155181680567
"LOC111135317",2.90109991721101
"LOC111118225",2.89739402744889
"LOC111103816",2.89455039092627
"LOC111122705",2.89404383693609
"LOC111128890",2.89401845008085
"LOC111125309",2.89401844985481
"LOC111115796",2.89401844965559
"LOC111103979",2.89401844955824
"LOC111108174",2.89401844955824
"LOC111109321",2.89401844955824
"LOC111109841",2.89401844955824
"LOC111116324",2.89401844955824
"LOC111132522",2.89401844955824
"LOC111134836",2.89401844955824
"LOC111110057",2.89339063869875
"LOC111104662",2.89295698943087
"LOC111102618",2.88846849933342
"LOC111124588",2.88774649738746
"LOC111128745",2.88756099562524
"LOC111135843",2.88708963684654
"LOC111135733",2.8869985880224
"LOC111101237",2.88033389760737
"LOC111127338",2.88003450914704
"LOC111115675",2.87239792316948
"LOC111113264",2.87180136223982
"LOC111130143",2.87121915554718
"LOC111117748",2.87081748033401
"LOC111136937",2.8694821045272
"LOC111108545",2.86876026749108
"LOC111127799",2.86303346531099
"LOC111101243",2.85758937536559
"LOC111112863",2.85746265868786
"LOC111119232",2.8573626557514
"LOC111130568",2.856070893746
"LOC111138499",2.85115269900054
"LOC111110422",2.85012933180986
"LOC111106980",2.84852474864982
"LOC111133449",2.84511519209922
"LOC111137316",2.84323505300811
"LOC111100170",2.84317488422307
"LOC111137960",2.843075900887
"LOC111130353",2.84190253960018
"LOC111138243",2.83749671892599
"LOC111127513",2.83352345888899
"LOC111106839",2.81982785717303
"LOC111110525",2.81950484722859
"LOC111130553",2.81692755522964
"LOC111101093",2.81684302123186
"LOC111121822",2.81224885732198
"LOC111107857",2.81059772786152
"LOC111137678",2.80979902748058
"LOC111132498",2.80928786279184
"LOC111138132",2.80928786279184
"LOC111113832",2.80839080693159
"LOC111136886",2.80296771135436
"LOC111121135",2.80115916693296
"LOC111124866",2.79898640604108
"LOC111114175",2.79554308709643
"LOC111105256",2.79439054336911
"LOC111105686",2.79259882146749
"LOC111100539",2.79181091871202
"LOC111131151",2.7903034237814
"LOC111111300",2.79030342374814
"LOC111114765",2.79030342374814
"LOC111126463",2.79030331562983
"LOC111126542",2.79030331562983
"LOC111135937",2.79030331562983
"LOC111102213",2.79005623846939
"LOC111129261",2.78934164521206
"LOC111134073",2.78885013005665
"LOC111112612",2.78813680761091
"LOC111126568",2.78661390083138
"LOC111118697",2.78382558727004
"LOC111120400",2.77946506321138
"LOC111110228",2.77740265320107
"LOC111116168",2.75953508270413
"LOC111101438",2.75508850252541
"LOC111099417",2.74874287789152
"LOC111102699",2.74531850370746
"LOC111116819",2.74522060619745
"LOC111124582",2.73994659663389
"LOC111107250",2.73855799274907
"LOC111109088",2.73421220831212
"LOC111113990",2.73415369439953
"LOC111124681",2.73243311273979
"LOC111107029",2.73024095138712
"LOC111102229",2.7299367384776
"LOC111126596",2.72885619567928
"LOC111136078",2.72354740041473
"LOC111127330",2.71893343077945
"LOC111135848",2.71699646519359
"LOC111124665",2.71442785407695
"LOC111135830",2.70911682499786
"LOC111119170",2.70848358166204
"LOC111131139",2.70528470308007
"LOC111112551",2.70502624814199
"LOC111110560",2.70298977115013
"LOC111112739",2.70026674000572
"LOC111102179",2.69961009353822
"LOC111108238",2.6994029185768
"LOC111118643",2.69917100515431
"LOC111103463",2.69850254199687
"LOC111112289",2.69801676076512
"LOC111108140",2.69510744691182
"LOC111122305",2.6949357754699
"LOC111136442",2.69477675987617
"LOC111114142",2.69441441362787
"LOC111102610",2.69411893616099
"LOC111120493",2.69360379527796
"LOC111105938",2.6930149654111
"LOC111106771",2.69190438910374
"LOC111121884",2.69026438025023
"LOC111111715",2.68870472879264
"LOC111136896",2.6886761034676
"LOC111100870",2.68504176613299
"LOC111111228",2.68504176613299
"LOC111114691",2.68476195549122
"LOC111119851",2.68206510510109
"LOC111106061",2.67958462076403
"LOC111109748",2.67445724668363
"LOC111131786",2.66475474461837
"LOC111123297",2.66333680853446
"LOC111102007",2.66332875825013
"LOC111130164",2.66332595926451
"LOC111100973",2.66301586493692
"LOC111114331",2.65771630212896
"LOC111125002",2.65770507303183
"LOC111113453",2.65398489580315
"LOC111122171",2.65322069378584
"LOC111118272",2.65004343884067
"LOC111109465",2.64926400801542
"LOC111116869",2.64559741948442
"LOC111132474",2.64483643696102
"LOC111133387",2.64139528622093
"LOC111131295",2.64064657155126
"LOC111108042",2.63973447402219
"LOC111129231",2.6254139782291
