"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111099826",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"LOC111099808",3,1,0,0,8,8,3,0,1,1,1,4,0,0,0
"LOC111111342",1,4,1,0,2,1,0,0,2,0,0,1,1,0,0
"LOC111106419",3,9,0,0,12,5,2,1,14,1,1,2,0,2,1
"LOC111124652",3,0,0,0,3,3,0,1,1,5,0,0,0,0,0
"LOC111124639",41,64,8,4,26,12,12,3,30,28,18,6,55,19,1
"LOC111112607",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LOC111104064",0,0,0,0,0,9,0,0,0,0,7,0,0,0,0
"LOC111101809",31,2,0,2,0,1,1,0,4,4,1,7,0,1,0
"LOC111106437",0,0,0,0,4,0,1,0,14,8,7,0,0,1,0
"LOC111111824",0,0,0,0,1,0,0,0,8,14,0,0,0,0,0
"LOC111111819",0,0,0,1,0,0,0,0,37,4,0,0,0,0,0
"LOC111101350",2,0,0,0,22,0,1,2,0,1,3,0,0,0,0
"LOC111118200",2,0,0,0,6,0,16,0,10,0,2,0,2,0,0
"LOC111130390",10,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"LOC111130410",1,1,0,0,1,0,1,1,2,2,2,3,0,2,0
"LOC111130459",12,1,0,2,2,0,2,0,1,1,6,1,0,0,0
"LOC111130443",3,0,0,1,2,2,0,0,1,0,3,0,0,1,0
"LOC111130556",0,3,0,0,9,11,1,0,0,1,2,7,0,0,0
"LOC111106499",1,0,0,0,2,1,1,1,0,0,0,0,0,1,0
"LOC111106515",0,4,2,0,2,0,0,0,1,2,1,1,0,0,0
"LOC111106522",1,2,0,0,0,0,1,0,7,3,0,0,0,2,1
