"gene_id","Gene.Ontology.IDs"
"LOC111115715","GO:0003341;GO:0007018"
"LOC111119946","GO:0003341;GO:0007018"
"LOC111120500","GO:0003341;GO:0007018"
"LOC111121849","GO:0003341;GO:0007018"
"LOC111121989","GO:0003341;GO:0007018"
"LOC111122403","GO:0003341;GO:0007018"
"LOC111122642","GO:0003341;GO:0007018"
"LOC111122784","GO:0003341;GO:0007018"
"LOC111125828","GO:0003341;GO:0007018"
"LOC111127636","GO:0003341;GO:0007018"
"LOC111129371","GO:0003341;GO:0007018"
"LOC111129372","GO:0003341;GO:0007018"
"LOC111129376","GO:0003341;GO:0007018"
"LOC111129377","GO:0003341;GO:0007018"
"LOC111129396","GO:0003341;GO:0007018"
"LOC111129512","GO:0003341;GO:0007018"
"LOC111134321","GO:0003341;GO:0007018"
"LOC111135472","GO:0003341;GO:0007018"
"LOC111136776","GO:0003341;GO:0007018"
"LOC111113104","GO:0003341;GO:0007018"
"LOC111114089","GO:0003341;GO:0007018"
"LOC111114091","GO:0003341;GO:0007018"
"LOC111114092","GO:0003341;GO:0007018"
"LOC111115151","GO:0003341;GO:0007018"
"LOC111125253","GO:0003341;GO:0007018"
"LOC111113806","GO:1901292;GO:0034404"
"LOC111135460","GO:1901292;GO:0034404"
"LOC111135489","GO:1901292;GO:0034404"
"LOC111135490","GO:1901292;GO:0034404"
"LOC111135848","GO:1901292;GO:0034404"
"LOC111103414","GO:0003352;GO:0060632;GO:0051270"
"LOC111105449","GO:0003352;GO:0060632;GO:0051270"
"LOC111129389","GO:0003352;GO:0060632;GO:0051270"
"LOC111137096","GO:0003352;GO:0060632;GO:0051270"
"LOC111138333","GO:0003352;GO:0060632;GO:0051270"
"LOC111138395","GO:0003352;GO:0060632;GO:0051270"
"LOC111099053","GO:0022607"
"LOC111099721","GO:0022607"
"LOC111099792","GO:0022607"
"LOC111099934","GO:0022607"
"LOC111100289","GO:0022607"
"LOC111100386","GO:0022607"
"LOC111100878","GO:0022607"
"LOC111101476","GO:0022607"
"LOC111101815","GO:0022607"
"LOC111102623","GO:0022607"
"LOC111102822","GO:0022607"
"LOC111102871","GO:0022607"
"LOC111103620","GO:0022607"
"LOC111104149","GO:0022607"
"LOC111104383","GO:0022607"
"LOC111105199","GO:0022607"
"LOC111105688","GO:0022607"
"LOC111105834","GO:0022607"
"LOC111105999","GO:0022607"
"LOC111106048","GO:0022607"
"LOC111106173","GO:0022607"
"LOC111106521","GO:0022607"
"LOC111107333","GO:0022607"
"LOC111108144","GO:0022607"
"LOC111108176","GO:0022607"
"LOC111108450","GO:0022607"
"LOC111108517","GO:0022607"
"LOC111109112","GO:0022607"
"LOC111109520","GO:0022607"
"LOC111109584","GO:0022607"
"LOC111109639","GO:0022607"
"LOC111110155","GO:0022607"
"LOC111110568","GO:0022607"
"LOC111110828","GO:0022607"
"LOC111110869","GO:0022607"
"LOC111111295","GO:0022607"
"LOC111111322","GO:0022607"
"LOC111111995","GO:0022607"
"LOC111111998","GO:0022607"
"LOC111112253","GO:0022607"
"LOC111112464","GO:0022607"
"LOC111112561","GO:0022607"
"LOC111112663","GO:0022607"
"LOC111114778","GO:0022607"
"LOC111115662","GO:0022607"
"LOC111115985","GO:0022607"
"LOC111116302","GO:0022607"
"LOC111116373","GO:0022607"
"LOC111116477","GO:0022607"
"LOC111118140","GO:0022607"
"LOC111118340","GO:0022607"
"LOC111118359","GO:0022607"
"LOC111118540","GO:0022607"
"LOC111118739","GO:0022607"
"LOC111118793","GO:0022607"
"LOC111118945","GO:0022607"
"LOC111119026","GO:0022607"
"LOC111119055","GO:0022607"
"LOC111119745","GO:0022607"
"LOC111119756","GO:0022607"
"LOC111119785","GO:0022607"
"LOC111119970","GO:0022607"
"LOC111120109","GO:0022607"
"LOC111120267","GO:0022607"
"LOC111120557","GO:0022607"
"LOC111120697","GO:0022607"
"LOC111120774","GO:0022607"
"LOC111120809","GO:0022607"
"LOC111120886","GO:0022607"
"LOC111120892","GO:0022607"
"LOC111120994","GO:0022607"
"LOC111121432","GO:0022607"
"LOC111121522","GO:0022607"
"LOC111121655","GO:0022607"
"LOC111121760","GO:0022607"
"LOC111121958","GO:0022607"
"LOC111122128","GO:0022607"
"LOC111122717","GO:0022607"
"LOC111123181","GO:0022607"
"LOC111123221","GO:0022607"
"LOC111123257","GO:0022607"
"LOC111123262","GO:0022607"
"LOC111123325","GO:0022607"
"LOC111123418","GO:0022607"
"LOC111123620","GO:0022607"
"LOC111124334","GO:0022607"
"LOC111124399","GO:0022607"
"LOC111124607","GO:0022607"
"LOC111124608","GO:0022607"
"LOC111124610","GO:0022607"
"LOC111124861","GO:0022607"
"LOC111125090","GO:0022607"
"LOC111125238","GO:0022607"
"LOC111125472","GO:0022607"
"LOC111125548","GO:0022607"
"LOC111125738","GO:0022607"
"LOC111125798","GO:0022607"
"LOC111125852","GO:0022607"
"LOC111125881","GO:0022607"
"LOC111125937","GO:0022607"
"LOC111125980","GO:0022607"
"LOC111126033","GO:0022607"
"LOC111126211","GO:0022607"
"LOC111126333","GO:0022607"
"LOC111126429","GO:0022607"
"LOC111126614","GO:0022607"
"LOC111126629","GO:0022607"
"LOC111126883","GO:0022607"
"LOC111127040","GO:0022607"
"LOC111127325","GO:0022607"
"LOC111127340","GO:0022607"
"LOC111127346","GO:0022607"
"LOC111127480","GO:0022607"
"LOC111127769","GO:0022607"
"LOC111127879","GO:0022607"
"LOC111127926","GO:0022607"
"LOC111128047","GO:0022607"
"LOC111128059","GO:0022607"
"LOC111128580","GO:0022607"
"LOC111129370","GO:0022607"
"LOC111129496","GO:0022607"
"LOC111129891","GO:0022607"
"LOC111130039","GO:0022607"
"LOC111130699","GO:0022607"
"LOC111131691","GO:0022607"
"LOC111131738","GO:0022607"
"LOC111131787","GO:0022607"
"LOC111132058","GO:0022607"
"LOC111132305","GO:0022607"
"LOC111132700","GO:0022607"
"LOC111132718","GO:0022607"
"LOC111132903","GO:0022607"
"LOC111132962","GO:0022607"
"LOC111133363","GO:0022607"
