"GO.IDs","GOslim","Term","gene_id"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111132204"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111100364"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111136477"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111112044"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111126890"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111120501"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111136120"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111109397"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121210"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111109647"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111138124"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111127728"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111113417"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111116220"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111112572"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111119865"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111133414"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121057"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111130263"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111109809"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121660"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111134737"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111134594"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111123735"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135948"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111124637"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111105859"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111125302"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111109733"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135284"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111136147"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111127784"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121541"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111129287"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111123801"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111128754"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111111605"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135564"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111131077"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111132503"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111135471"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111114430"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111113134"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111107446"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111133758"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111129823"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111121649"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111119953"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111129852"
"GO:0000122","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription","LOC111106097"
