,2018--BBB-WBO-B21-CV,2018--BBB-WBV-B70-CV,2018--BBO-BBO-B16-CV,2018--BBO-BBY-B27-CV,2018--BBO-WBO-B16-CV,2018--BBO-WBV-B64-CV,2018--BBR-BBB-B50-CV,2018--BBR-BBG-B38-CV,2018--BBR-BBY-B26-CV,2018--BBY-WBG-B42-CV,2018--BPO-BPO-O16-CV,2018--BPR-BPG-O38-CV,2018--BPR-BPR-O02-CV,2018--BPY-BPG-O42-CV,2018--BPY-BPY-O29-CV,2018--WBB-WBV-W69-CV,2018--WBG-BBB-W56-CV,2018--WBG-WBG-W44-CV,2018--WBO-BBR-W03-CV,2018--WBO-WBV-W64-CV,2018--WBR-BBY-W25-CV,2018--WBV-WBO-W23-CV,2018--WBV-WBR-W12-CV,2018--WBY-BBV-W65-CV,2018--WBY-BBY-W30-CV,2018--WPB-BPG-G45-CV,2018--WPO-BPO-G16-CV,2018--WPO-BPY-G28-CV,2018--WPR-BPY-G25-CV,2018--WPV-BPR-G11-CV
LOC111120735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120737,42,26,13,18,14,8,16,18,27,7,0,24,3,3,3,36,39,4,2,35,6,9,3,19,19,13,16,1,15,0
LOC111120738,0,1,0,0,0,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
LOC111120739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LOC111120740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC111120741,32,18,2,2,19,24,10,11,10,9,2,5,2,0,3,21,4,2,2,16,6,4,2,2,10,8,13,0,15,0
LOC111120742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120743,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
LOC111120744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120745,4,6,13,1,7,4,1,13,11,1,0,2,0,0,0,26,11,3,0,3,1,2,0,0,2,3,2,1,3,0
LOC111120746,17,37,47,15,20,7,20,48,16,6,8,14,14,12,13,30,43,1,1,35,25,16,3,57,12,35,24,38,10,0
LOC111120747,40,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0
LOC111120748,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120750,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC111120751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120752,0,2,2,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,3,0,1,0,1,1,0,0,0,1,0
LOC111120753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120754,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LOC111120756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120757,2,0,3,0,3,2,5,4,6,3,1,1,0,0,3,3,12,0,2,4,3,5,1,11,2,4,3,0,2,0
LOC111120758,10,0,0,0,0,0,0,5,0,1,0,1,0,0,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120759,1,3,5,5,2,0,4,3,8,2,1,1,0,1,0,3,10,0,1,1,0,2,0,9,2,1,2,1,0,0
LOC111120760,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0
LOC111120761,79,75,61,17,78,88,34,46,102,16,9,41,7,5,6,39,69,9,3,20,13,25,7,48,30,12,32,4,26,2
LOC111120762,3,6,0,1,0,2,7,3,6,0,0,1,29,0,0,4,259,4,2,0,4,0,0,3,2,0,0,0,4,1
LOC111120764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120766,32,24,20,12,34,26,21,27,22,3,6,16,2,3,3,31,37,5,1,14,3,10,4,22,4,8,18,1,7,0
LOC111120767,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120768,2,8,2,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,1,0,0,1,0,0,1
LOC111120769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120773,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120774,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120775,27,17,12,14,21,30,12,16,17,7,1,10,0,0,4,19,12,2,1,15,3,3,2,3,10,1,2,1,12,0
LOC111120776,13,17,24,17,44,25,11,25,36,7,1,11,0,1,1,20,21,11,0,17,9,15,3,12,13,8,0,0,16,0
LOC111120777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120778,3,25,18,5,18,13,11,13,26,1,3,9,3,2,1,2,1,1,0,10,6,3,2,25,12,10,9,0,8,0
LOC111120779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120781,237,212,91,117,165,185,93,156,152,27,16,121,28,8,32,161,140,32,8,112,48,62,19,158,111,58,48,8,83,4
LOC111120782,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
LOC111120783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
